Series,Part No.,Max Speed (MHz),Memory (Bytes),,I/O,Timer,,,,,,,Connectivity,,,,,,,,,,,,,,,,,,,EXMC,EXMC/SDRAM,Analog Interface,,Package,Core
,,,Flash,SRAM,,GPTM (32bit),GPTM (16bit),Adv TM (16bit),Bsc TM (16bit),SysTick (24bit),WDG,RTC,USART+UART,I2C,SPI,CAN 2.0B,USB 2.0,I2S,SDIO,Ether-net,TMU,SHR TM,COMP,OP-AMP,CEC,LCD-TFT,LCD,Camera,ETHMAC,Crypto/Hash,IPA,,,12bit ADC Units (CHs),12bit DAC Units,,
,GD32F305RGT6,120,1024K,96K,up to 51,,10,2,2,1,2,1,3+2,2,3,2,OTG,2,,,,,,,,,,,,,,,,2(16),2,LQFP64,Cortex-M4
,GD32F305VCT6,120,256K,96K,up to 80,,4,1,2,1,2,1,3+2,2,3,2,OTG,2,,,,,,,,,,,,,,1,,2(16),2,LQFP100,Cortex-M4
,GD32F305VET6,120,512K,96K,up to 80,,4,2,2,1,2,1,3+2,2,3,2,OTG,2,,,,,,,,,,,,,,1,,2(16),2,LQFP100,Cortex-M4
,GD32F305VGT6,120,1024K,96K,up to 80,,10,2,2,1,2,1,3+2,2,3,2,OTG,2,,,,,,,,,,,,,,1,,2(16),2,LQFP100,Cortex-M4
,GD32F305ZCT6,120,256K,96K,up to 112,,4,2,2,1,2,1,3+2,2,3,2,OTG,2,,,,,,,,,,,,,,1,,2(21),2,LQFP144,Cortex-M4
,GD32F305ZET6,120,512K,96K,up to 112,,4,2,2,1,2,1,3+2,2,3,2,OTG,2,,,,,,,,,,,,,,1,,2(21),2,LQFP144,Cortex-M4
,GD32F305ZGT6,120,1024K,96K,up to 112,,10,2,2,1,2,1,3+2,2,3,2,OTG,2,,,,,,,,,,,,,,1,,2(21),2,LQFP144,Cortex-M4
,GD32F307RCT6,120,256K,96K,up to 51,,4,1,2,1,2,1,3+2,2,3,2,OTG,2,,1,,,,,,,,,,,,,,2(16),2,LQFP64,Cortex-M4
GD32F307,GD32F307RET6,120,512K,96K,up to 51,,4,2,2,1,2,1,3+2,2,3,2,OTG,2,,1,,,,,,,,,,,,,,2(16),2,LQFP64,Cortex-M4
,GD32F307RGT6,120,1024K,96K,up to 51,,10,2,2,1,2,1,3+2,2,3,2,OTG,2,,1,,,,,,,,,,,,,,2(16),2,LQFP64,Cortex-M4
,GD32F307VCT6,120,256K,96K,up to 80,,4,1,2,1,2,1,3+2,2,3,2,OTG,2,,1,,,,,,,,,,,,1,,2(16),2,LQFP100,Cortex-M4
,GD32F307VET6,120,512K,96K,up to 80,,4,2,2,1,2,1,3+2,2,3,2,OTG,2,,1,,,,,,,,,,,,1,,2(16),2,LQFP100,Cortex-M4
,GD32F307VGT6,120,1024K,96K,up to 80,,10,2,2,1,2,1,3+2,2,3,2,OTG,2,,1,,,,,,,,,,,,1,,2(16),2,LQFP100,Cortex-M4
,GD32F307ZCT6,120,256K,96K,up to 112,,4,2,2,1,2,1,3+2,2,3,2,OTG,2,,1,,,,,,,,,,,,1,,2(21),2,LQFP144,Cortex-M4
,GD32F307ZET6,120,512K,96K,up to 112,,4,2,2,1,2,1,3+2,2,3,2,OTG,2,,1,,,,,,,,,,,,1,,2(21),2,LQFP144,Cortex-M4
,GD32F307ZGT6,120,1024K,96K,up to 112,,10,2,2,1,2,1,3+2,2,3,2,OTG,2,,1,,,,,,,,,,,,1,,2(21),2,LQFP144,Cortex-M4
GD32F330,GD32F330F4P6,84,16K,4K,up to 15,1,4,1,,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,1(9),,TSSOP20,Cortex-M4
,GD32F330F6P6,84,32K,4K,up to 15,1,4,1,,1,2,1,2,1,1,,,,,,,,,,,,,,,,,,,1(9),,TSSOP20,Cortex-M4
,GD32F330F8P6,84,64K,8K,up to 15,1,4,1,,1,2,1,2,2,2,,,,,,,,,,,,,,,,,,,1(9),,TSSOP20,Cortex-M4
,GD32F330G4U6,84,16K,4K,up to 23,1,4,1,,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,1(10),,QFN28,Cortex-M4
,GD32F330G6U6,84,32K,4K,up to 23,1,4,1,,1,2,1,2,1,1,,,,,,,,,,,,,,,,,,,1(10),,QFN28,Cortex-M4
,GD32F330G8U6,84,64K,8K,up to 23,1,5,1,,1,2,1,2,2,2,,,,,,,,,,,,,,,,,,,1(10),,QFN28,Cortex-M4
,GD32F330K4U6,84,16K,4K,up to 27,1,4,1,,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,1(10),,QFN32,Cortex-M4
,GD32F330K6U6,84,32K,4K,up to 27,1,4,1,,1,2,1,2,1,1,,,,,,,,,,,,,,,,,,,1(10),,QFN32,Cortex-M4
,GD32F330K8U6,84,64K,8K,up to 27,1,5,1,,1,2,1,2,2,2,,,,,,,,,,,,,,,,,,,1(10),,QFN32,Cortex-M4
,GD32F330C4T6,84,16K,4K,up to 39,1,4,1,,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,1(10),,LQFP48,Cortex-M4
,GD32F330C6T6,84,32K,4K,up to 39,1,4,1,,1,2,1,2,1,1,,,,,,,,,,,,,,,,,,,1(10),,LQFP48,Cortex-M4
,GD32F330C8T6,84,64K,8K,up to 39,1,5,1,,1,2,1,2,2,2,,,,,,,,,,,,,,,,,,,1(10),,LQFP48,Cortex-M4
,GD32F330CBT6,84,128K,16K,up to 39,1,5,1,,1,2,1,2,2,2,,,,,,,,,,,,,,,,,,,1(10),,LQFP48,Cortex-M4
,GD32F330R8T6,84,64K,16K,up to 55,1,5,1,,1,2,1,2,2,2,,,,,,,,,,,,,,,,,,,1(16),,LQFP64,Cortex-M4
,GD32F330RBT6,84,128K,16K,up to 55,1,5,1,,1,2,1,2,2,2,,,,,,,,,,,,,,,,,,,1(16),,LQFP64,Cortex-M4
GD32F350,GD32F350G4U6,108,16K,4K,up to 24,1,5,1,1,1,2,1,1,1,1,,OTG,1,,,,,2,,1,,,,,,,,,1(10),1,QFN28,Cortex-M4
,GD32F350G6U6,108,32K,6K,up to 24,1,5,1,1,1,2,1,2,1,1,,OTG,1,,,,,2,,1,,,,,,,,,1(10),1,QFN28,Cortex-M4
,GD32F350G8U6,108,64K,8K,up to 24,1,5,1,1,1,2,1,2,2,2,,OTG,1,,,,,2,,1,,,,,,,,,1(10),1,QFN28,Cortex-M4
,GD32F350K4U6,108,16K,4K,up to 27,1,5,1,1,1,2,1,1,1,1,,OTG,1,,,,,2,,1,,,,,,,,,1(10),1,QFN32,Cortex-M4
,GD32F350K6U6,108,32K,6K,up to 27,1,5,1,1,1,2,1,2,1,1,,OTG,1,,,,,2,,1,,,,,,,,,1(10),1,QFN32,Cortex-M4
,GD32F350K8U6,108,64K,8K,up to 27,1,5,1,1,1,2,1,2,2,2,,OTG,1,,,,,2,,1,,,,,,,,,1(10),1,QFN32,Cortex-M4
,GD32F350C4T6,108,16K,4K,up to 39,1,5,1,1,1,2,1,1,1,1,,OTG,1,,,,,2,,1,,,,,,,,,1(10),1,LQFP48,Cortex-M4
,GD32F350C6T6,108,32K,6K,up to 39,1,5,1,1,1,2,1,2,1,1,,OTG,1,,,,,2,,1,,,,,,,,,1(10),1,LQFP48,Cortex-M4
,GD32F350C8T6,108,64K,8K,up to 39,1,5,1,1,1,2,1,2,2,2,,OTG,1,,,,,2,,1,,,,,,,,,1(10),1,LQFP48,Cortex-M4
,GD32F350CBT6,108,128K,16K,up to 39,1,5,1,1,1,2,1,2,2,2,,OTG,1,,,,,2,,1,,,,,,,,,1(10),1,LQFP48,Cortex-M4
,GD32F350R4T6,108,16K,4K,up to 55,1,5,1,1,1,2,1,1,1,1,,OTG,1,,,,,2,,1,,,,,,,,,1(16),1,LQFP64,Cortex-M4
,GD32F350R6T6,108,32K,8K,up to 55,1,5,1,1,1,2,1,2,1,1,,OTG,1,,,,,2,,1,,,,,,,,,1(16),1,LQFP64,Cortex-M4
,GD32F350R8T6,108,64K,16K,up to 55,1,5,1,1,1,2,1,2,2,2,,OTG,1,,,,,2,,1,,,,,,,,,1(16),1,LQFP64,Cortex-M4
,GD32F350RBT6,108,128K,16K,up to 55,1,5,1,1,1,2,1,2,2,2,,OTG,1,,,,,2,,1,,,,,,,,,1(16),1,LQFP64,Cortex-M4
GD32F450,GD32F450VET6,200,512K,256K,up to 82,2,8,2,2,,2,1,4+4,3,5,2,FS+HS OTG,2,1,,,,,,,1,,1,1,,1,,1/0,3(16),2,LQFP100,Cortex-M4F
,GD32F450VGT6,200,1024K,256K,up to 82,2,8,2,2,,2,1,4+4,3,5,2,FS+HS OTG,2,1,,,,,,,1,,1,1,,1,,1/0,3(16),2,LQFP100,Cortex-M4F
